"id","year","state_name","state_code","district_name","district_code","registration_circles","murder","infancticide","rape","assault_on_women","insult_the_modesty_of_women","kidnapping_and_abduction","foeticide","abetment_of_suicide_of_child","exposure_and_abandonment","procuration_of_minor_girls","importation_of_girls_from_foreign_country","buying_of_minors_for_prstn","selling_of_minors_for_prstn","prohibition_of_child_marriage","transplantation_of_human_organs","child_labour_prohibition_and_regulation","immoral_traffic_prevention","justice_care_and_protection_of_children","protection_of_children_from_sexual_offences","attempt_to_commit_murder","unnatural_offences","human_trafficking","other_crimes_committed_against_children"
0,"2016","Andhra Pradesh","28","Anantapur","502","Anantapur",10.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,15.0
1,"2016","Andhra Pradesh","28","Chittoor","503","Chittoor",4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
2,"2016","Andhra Pradesh","28","Y.S.R.","504","Cuddapah",6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3,"2016","Andhra Pradesh","28","East Godavari","505","East Godavari",3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,26.0
4,"2016","Andhra Pradesh","28","Anantapur","502","Guntakal Railway",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"2016","Andhra Pradesh","28","Guntur","506","Guntur",2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,1.0,1.0,0.0,9.0
6,"2016","Andhra Pradesh","28","Guntur","506","Guntur Urban",2.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0
7,"2016","Andhra Pradesh","28","Krishna","510","Krishna",2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,1.0,0.0,15.0
8,"2016","Andhra Pradesh","28","Kurnool","511","Kurnool",5.0,10.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,53.0,0.0,0.0,0.0,24.0
9,"2016","Andhra Pradesh","28","Spsr Nellore","515","Nellore",0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,0.0,68.0
10,"2016","Andhra Pradesh","28","Prakasam","517","Prakasham",6.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,72.0,0.0,2.0,0.0,3.0
11,"2016","Andhra Pradesh","28","East Godavari","505","Rajahmundry",0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,0.0,0.0,0.0,5.0
12,"2016","Andhra Pradesh","28","Srikakulam","519","Srikakulam",0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,6.0
13,"2016","Andhra Pradesh","28","Tirupati","752","Tirupathi Urban",3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
14,"2016","Andhra Pradesh","28","Ntr","749","Vijayawada City",4.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,77.0,1.0,2.0,0.0,129.0
15,"2016","Andhra Pradesh","28","Ntr","749","Vijayawada Railway",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"2016","Andhra Pradesh","28","Visakhapatanam","520","Visakha Rural",3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0
17,"2016","Andhra Pradesh","28","Visakhapatanam","520","Visakhapatnam",0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,14.0
18,"2016","Andhra Pradesh","28","Vizianagaram","521","Vizianagaram",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0
19,"2016","Andhra Pradesh","28","West Godavari","523","West Godavari",3.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,155.0,0.0,1.0,1.0,63.0
